,0,1,2,3,4,5,6,7
0,-5.0,11.0,15.0,-31.0,-462.0,200.0,894.0,622.0
1,0.0,1.0,-3.0,-32.0,-52.0,-127.0,84.0,-129.0
2,2.0,10.0,34.0,175.0,661.0,969.0,40.0,1891.0
3,0.0,1.0,-5.0,-69.0,327.0,54.0,-618.0,-310.0
4,-7.0,-3.0,39.0,201.0,-755.0,295.0,864.0,634.0
5,2.0,-10.0,-11.0,-111.0,-96.0,-199.0,-292.0,-717.0
6,0.0,4.0,7.0,42.0,-30.0,-19.0,-213.0,-209.0
7,-5.0,-4.0,-5.0,-53.0,418.0,394.0,651.0,1396.0
8,0.0,0.0,0.0,-49.0,-2.0,41.0,108.0,98.0
9,-3.0,-4.0,-34.0,-19.0,712.0,553.0,-702.0,503.0
10,-6.0,-11.0,-1.0,-341.0,98.0,-316.0,77.0,-500.0
11,-3.0,8.0,28.0,-134.0,-160.0,624.0,-1215.0,-852.0
12,4.0,-11.0,6.0,-112.0,-61.0,-87.0,-472.0,-733.0
13,-4.0,0.0,-14.0,-107.0,985.0,489.0,135.0,1484.0
14,0.0,1.0,0.0,-25.0,-37.0,112.0,-57.0,-6.0
15,0.0,0.0,0.0,44.0,-25.0,82.0,70.0,171.0
